Hours_Studied(x1),Attendance(x2),Exam_Score(y)
5,8,76
7,19,96
7,10,76
2,14,90
5,11,92
6,7,58
6,7,73
2,17,84
2,5,80
4,7,51
4,6,73
3,18,83
4,9,93
3,10,100
8,13,99
2,13,59
8,18,68
3,17,71
6,7,77
2,6,94
4,13,61
1,18,83
5,14,97
2,8,68
8,15,67
5,17,54
7,15,87
8,5,66
8,17,60
5,9,58
3,15,74
1,8,64
4,12,79
10,12,52
9,8,81
10,18,61
9,19,57
7,18,58
6,14,77
3,7,64
7,10,63
8,12,63
4,6,61
5,16,63
6,13,95
8,13,62
5,9,65
9,15,57
6,16,81
9,5,81
9,12,67
2,5,72
5,6,83
8,14,72
7,16,58
10,19,60
7,16,90
7,6,76
8,10,73
9,7,57
10,19,56
6,15,83
2,15,82
5,7,67
8,5,76
6,11,85
5,18,99
6,17,79
5,13,64
5,10,94
7,16,93
1,6,91
6,13,80
10,8,79
3,6,74
6,13,93
8,10,86
9,5,88
8,14,90
1,15,75
6,9,50
5,18,61
2,15,63
7,16,58
5,7,89
7,15,90
2,13,78
7,18,92
8,14,74
9,18,61
6,15,52
7,9,52
1,12,95
7,13,89
3,17,67
4,8,73
10,18,97
2,14,83
8,7,62
6,12,100
